permit_number,dba,canonical_name,street_address,canonical_address,latitude,longitude,inspection_date,facility_rating_status,violation_count,matched_place_id,match_score,place_id,name,address,rating,user_ratings_total,types,lat,lng,business_status
06744039,SUM DIM SUM,sum dim sum,601 GRANT AVE,601 grant avenue,37.79262,-122.406201,2025-04-22,Pass,2.0,ChIJo7SnirKBhYARAlLOw0n_s9k,78.55072463768116,ChIJo7SnirKBhYARAlLOw0n_s9k,Sum Dim Sum,"601 Grant Ave, San Francisco, CA 94108, United States",3.8,680.0,"restaurant, food, point_of_interest, establishment",37.7925771,-122.4060725,OPERATIONAL
91245,TIFFANY'S CAFE,tiffany s,3801 3RD ST,3801 3rd street,37.741941,-122.387445,2025-04-22,Pass,3.0,,,,,,,,,,,
107465,PO'BOYS KITCHEN,po boys kitchen,317 CONNECTICUT STREET,317 connecticut street,37.762353,-122.397174,2025-04-22,Pass,4.0,,,,,,,,,,,
109579,TIN ON KEARNY,tin on kearny,356 KEARNY ST,356 kearny street,37.791522,-122.4039735,2025-04-21,Pass,7.0,ChIJ9VZ7XQWBhYAROlVuirgdsUA,79.1549295774648,ChIJ9VZ7XQWBhYAROlVuirgdsUA,Tin on Kearny,"356 Kearny St, San Francisco, CA 94108, United States",4.9,91.0,"restaurant, food, point_of_interest, establishment",37.7915458,-122.4040768,OPERATIONAL
06733522,LOS YUCATECOS,los yucatecos,717 ELLIS ST,717 ellis street,37.784061,-122.417964,2025-04-21,Pass,2.0,,,,,,,,,,,
T00683,SILVER CREST DONUT SHOP,silver crest donut shop,340 BAY SHORE BLVD,340 bay shore boulevard,37.742283,-122.406093,2025-04-21,nan,,,,,,,,,,,,
19073,CHOWDERS,chowders,PIER 39,the embarcadero beach street,37.808118,-122.409063,2025-04-21,Pass,4.0,,,,,,,,,,,
06743818,CTKEMPANADAS LLC,ctkempanadas,1355 MARKET ST STE 100,1355 market street,37.777131,-122.4164835,2025-04-21,Pass,,,,,,,,,,,,
T-70486,7 ELEVEN #2366-35696A,7 eleven 2366 35696a,221 SANSOME ST,221 sansome street,37.792395,-122.4012825,2025-04-18,nan,1.0,,,,,,,,,,,
75402,CHAMPA GARDEN,champa garden,613 FAXON AVE,613 faxon avenue,37.725039,-122.4600435,2025-04-18,Conditional Pass,24.0,,,,,,,,,,,
H2406732477,MARCELA'S TAQUERIA,marcela s taqueria,595 GEARY ST,595 geary street,37.786653,-122.4129825,2025-04-18,Pass,,,,,,,,,,,,
06733494,LE SOLEIL INTERNATIONAL HOLDINGS INC,le soleil international holdings,3251 20TH AVE STE 221,3251 20th avenue,37.728477,-122.4768375,2025-04-18,Pass,,,,,,,,,,,,
06734023,HAPPY KING PIZZA,happy king pizza,227 KING ST,227 king street,37.77714,-122.392188,2025-04-18,Pass,5.0,ChIJy4gPCh9_j4AR1HVN7JZSGCk,77.91044776119404,ChIJy4gPCh9_j4AR1HVN7JZSGCk,Happy king pizza,"227 King St, San Francisco, CA 94107, United States",4.6,476.0,"restaurant, food, point_of_interest, establishment",37.7770381,-122.3926348,OPERATIONAL
19408,GUERRA QUALITY MEAT,guerra quality meat,490 TARAVAL ST,490 taraval street,37.743417,-122.4712125,2025-04-18,Pass,,,,,,,,,,,,
06743970,MEXI-CALI,mexi cali,103 HORNE AVE,103 horne avenue,37.726596,-122.3656245,2025-04-17,Pass,,,,,,,,,,,,
18306,FERRY PLAZA FARMERS MARKET,ferry plaza farmers market,1 FERRY BUILDING 50,the embarcadero market street,37.79493499445,-122.39426502138,2025-04-17,Pass,1.0,,,,,,,,,,,
06733679,MINI POTSTICKERS,mini potstickers,1639 POLK ST,1639 polk street,37.792071,-122.421267,2025-04-17,Pass,1.0,,,,,,,,,,,
06743993,Taco Bell,taco bell,49 S Van Ness Ave 7th Floor,49 s van ness avenue 7th floor,37.774431,-122.418045,2025-04-17,Pass,8.0,,,,,,,,,,,
81187,CASA MAYAH RESTAURANT,casa mayah,294 TURK ST,294 turk street,37.782927,-122.41386,2025-04-17,Pass,,,,,,,,,,,,
26943,COURTYARD CAFE AT FW,courtyard cafe at fw,580 BEACH ST,580 beach street,37.807398,-122.418549,2025-04-17,Pass,1.0,,,,,,,,,,,
T-71444,ROADSIDE ROSY'S,roadside rosy s,1018 COLUMBUS AVE,1018 columbus avenue,37.803969,-122.415174,2025-04-17,Pass,2.0,,,,,,,,,,,
6913,XTRA OIL COMPANY,xtra oil company,3750 3RD ST,3750 3rd street,37.743147,-122.388066,2025-04-17,Pass,1.0,,,,,,,,,,,
51838,CAFE ME,cafe me,500 WASHINGTON ST STE 102,500 washington street,37.795968,-122.4020925,2025-04-17,Pass,2.0,,,,,,,,,,,
18531,HOUSE OF PRIME RIB,house of prime rib,1906 VAN NESS AVE,1906 van ness avenue,37.793385,-122.4225135,2025-04-16,nan,,ChIJg67caeqAhYAR2UQjKb1a8j4,80.77922077922078,ChIJg67caeqAhYAR2UQjKb1a8j4,House of Prime Rib,"1906 Van Ness Ave, San Francisco, CA 94109, United States",4.7,6968.0,"restaurant, food, point_of_interest, establishment",37.7934329,-122.422732,OPERATIONAL
06743854,THE TAMALE FIESTA,the tamale fiesta,1182 MARKET ST,1182 market street,37.779336,-122.4146655,2025-04-16,Pass,,,,,,,,,,,,
06743931,HEM,hem,1050 VALENCIA ST,1050 valencia street,37.755945,-122.42133,2025-04-16,Pass,,,,,,,,,,,,
117718,CONSTELLATION CULINARY GROUP,constellation culinary group,55 Music Concourse DR,55 music concourse drive,37.770057,-122.4663165,2025-04-16,Pass,4.0,,,,,,,,,,,
06735308,NOPA FISH,nopa fish,1 FERRY BUILDING STE 31,the embarcadero market street,37.79493499445,-122.39426502138,2025-04-16,Pass,,,,,,,,,,,,
75406,VICTORY HALL & PARLOR,victory hall parlor,360 RITCH ST,360 ritch street,37.778832,-122.394078,2025-04-16,Pass,,,,,,,,,,,,
A106244,ABRAHAM FARMERS MARKET,abraham farmers market,3931 GEARY BLVD,3931 geary boulevard,37.78106005081,-122.46143746824,2025-04-16,Pass,,,,,,,,,,,,
06743915,YMCA,ymca,49 S Van Ness Ave 7th Floor,49 s van ness avenue 7th floor,37.774431,-122.418045,2025-04-16,nan,,,,,,,,,,,,
06735074,PROPOSITION CHICKEN,proposition chicken,16 WEST PORTAL AVE,16 west portal avenue,37.740789,-122.466321,2025-04-16,Pass,,,,,,,,,,,,
110173,MARNEE THAI RESTAURANT,marnee thai,1243 9TH AVE,1243 9th avenue,37.765134,-122.4667305,2025-04-16,Pass,,,,,,,,,,,,
104383,TOSCA CAFE,tosca,242 COLUMBUS AVE BLDG,242 columbus avenue bldg,37.79758401113,-122.4057410203,2025-04-16,Pass,4.0,,,,,,,,,,,
19304,GEORGES ZOO LIQ AND DELI,georges zoo liq and deli,2560 SLOAT BLVD,2560 sloat boulevard,37.735542,-122.501547,2025-04-16,Pass,3.0,,,,,,,,,,,
95669,THE GRUB-BIES LLC,the grub bies,303 SACRAMENTO ST,303 sacramento street,37.794132,-122.3992305,2025-04-15,Pass,1.0,,,,,,,,,,,
34598,EL CASTILLITO TAQUERIA,el castillito taqueria,136 CHURCH ST,136 church street,37.768725,-122.4294435,2025-04-15,Pass,,,,,,,,,,,,
89305,GOLDEN COAST RESTAURANT,golden coast,1540 OCEAN AVE,1540 ocean avenue,37.724724,-122.458896,2025-04-15,Conditional Pass,17.0,,,,,,,,,,,
62550,ANZU RESTAURANT,anzu,222 MASON ST,222 mason street,37.785699,-122.409288,2025-04-15,Pass,5.0,,,,,,,,,,,
75406,VICTORY HALL & PARLOR,victory hall parlor,360 RITCH ST,360 ritch street,37.778832,-122.394078,2025-04-15,Closure,4.0,,,,,,,,,,,
06743714,LORE ESCAPES LLC,lore escapes,3065 16TH ST,3065 16th street,37.764702,-122.4210105,2025-04-15,Pass,,,,,,,,,,,,
91977,LA VACA BIRRIA,la vaca birria,2962 24TH ST,2962 24th street,37.752894,-122.411403,2025-04-15,Pass,6.0,ChIJ9QKs3yR_j4ARHuXwnup3Rs0,78.55072463768116,ChIJ9QKs3yR_j4ARHuXwnup3Rs0,La Vaca Birria,"2962 24th St, San Francisco, CA 94110, United States",4.4,356.0,"restaurant, food, point_of_interest, establishment",37.7527702,-122.4114087,OPERATIONAL
78236,HARPER AND RYE,harper and rye,1695 POLK ST,1695 polk street,37.792224,-122.421294,2025-04-15,Pass,1.0,,,,,,,,,,,
110173,MARNEE THAI RESTAURANT,marnee thai,1243 9TH AVE,1243 9th avenue,37.765134,-122.4667305,2025-04-15,Pass,3.0,,,,,,,,,,,
FYF119398,SUBWAY #7154,subway 7154,3801 3RD ST STE 310,3801 3rd street,37.741941,-122.387445,2025-04-15,Pass,4.0,,,,,,,,,,,
115467,CAPITAL ONE CAFE MANAGED BY EUREST,capital one cafe managed by eurest,101 POST ST,101 post street,37.788687,-122.4038925,2025-04-14,Pass,3.0,,,,,,,,,,,
06743713,ZITOUNA,zitouna,2435 CLEMENT ST,2435 clement street,37.781748,-122.4854865,2025-04-14,Pass,,ChIJP_IJ6MmHhYARCya8-QI2Lzk,80.26666666666667,ChIJP_IJ6MmHhYARCya8-QI2Lzk,Zitouna,"2435 Clement St, San Francisco, CA 94121, United States",4.8,204.0,"restaurant, food, point_of_interest, establishment",37.7817832,-122.4855279,OPERATIONAL
00720,Foods Co #357,foods co 357,1800 FOLSOM ST,1800 folsom street,37.767861,-122.416119,2025-04-14,nan,2.0,,,,,,,,,,,
32484,BISCOFF COFFEE CORNER,biscoff coffee corner,39 PIER 213,39 pier 213,37.79504065358,-122.39622230419,2025-04-14,Pass,3.0,,,,,,,,,,,
30713,MATADOR,matador,679 SUTTER ST,679 sutter street,37.788768,-122.4113985,2025-04-14,Pass,5.0,ChIJtV1xC46AhYARAkkXqjF4v9s,79.1549295774648,ChIJtV1xC46AhYARAkkXqjF4v9s,Matador,"679 Sutter St, San Francisco, CA 94102, United States",4.3,1374.0,"bar, restaurant, food, point_of_interest, establishment",37.7886963,-122.4115393,OPERATIONAL
19348,BOUDIN SOURDOUGH BAKERY/CAFE,boudin sourdough bakery,3251 20TH AVE,3251 20th avenue,37.728477,-122.4768375,2025-04-11,Pass,,,,,,,,,,,,
11645,JACKSON PRODUCE INC,jackson produce,15 WALTER U LUM PL,15 walter u lum place,37.794582,-122.4059175,2025-04-11,Pass,2.0,,,,,,,,,,,
90448,LIN'S KITCHEN,lin s kitchen,337 JONES ST,337 jones street,37.78443,-122.412978,2025-04-11,Pass,,,,,,,,,,,,
06743986,SONOMA COUNTY MEAT COMPANY,sonoma county meat company,84 BARTLETT ST,84 bartlett street,37.75566411463,-122.41993440708,2025-04-11,Pass,,,,,,,,,,,,
A98995,VALLARTA'S TACO BAR,vallarta s taco bar,3033 24TH ST,3033 24th street,37.752408,-122.4125775,2025-04-11,Closure,5.0,,,,,,,,,,,
06735075,SF Holycrepe Cafe,sf holycrepe,715 IRVING ST,715 irving street,37.763865,-122.465547,2025-04-11,Pass,,,,,,,,,,,,
98824,FRANCO'S LATIN TABLE,franco s latin table,24 WEST PORTAL AVE,24 west portal avenue,37.740681,-122.466429,2025-04-11,Pass,,ChIJBcNc7NJ9j4ARUbkoYU09Lww,78.94736842105263,ChIJBcNc7NJ9j4ARUbkoYU09Lww,Franco's Latin Table,"24 W Portal Ave, San Francisco, CA 94127, United States",4.3,433.0,"restaurant, food, point_of_interest, establishment",37.7406399,-122.466283,OPERATIONAL
18306,FERRY PLAZA FARMERS MARKET,ferry plaza farmers market,1 FERRY BUILDING 50,the embarcadero market street,37.79493499445,-122.39426502138,2025-04-10,Pass,,,,,,,,,,,,
A118913,TRISARA RESTAURANT,trisara,211 KEARNY ST,211 kearny street,37.790028,-122.4041355,2025-04-10,Pass,,ChIJ0zwVyL6BhYARcEColYDhnl8,79.1549295774648,ChIJ0zwVyL6BhYARcEColYDhnl8,Trisara,"211 Kearny St, San Francisco, CA 94108, United States",4.7,581.0,"restaurant, food, point_of_interest, establishment",37.79004949999999,-122.4040638,OPERATIONAL
06733123,SAINT FRANK COFFEE,saint frank coffee,120 FOLSOM ST,120 folsom street,37.789965,-122.3913825,2025-04-10,Pass,,,,,,,,,,,,
81187,CASA MAYAH RESTAURANT,casa mayah,294 TURK ST,294 turk street,37.782927,-122.41386,2025-04-10,Pass,,,,,,,,,,,,
06743922,MOOKOOS,mookoos,451 9TH ST,451 9th street,37.772127,-122.4091215,2025-04-10,Pass,,,,,,,,,,,,
25187,KAM LOK RESTAURANT INC,kam lok restaurant,834 WASHINGTON ST,834 washington street,37.795239,-122.407119,2025-04-10,Pass,,,,,,,,,,,,
06735331,KING OF NOODLES,king of noodles,1639 IRVING ST,1639 irving street,37.763388,-122.47569,2025-04-10,Pass,,,,,,,,,,,,
D1428,LAWTON ELEMENTARY SCHOOL,lawton elementary school,1570 31ST AVE,1570 31st avenue,37.75806,-122.4891135,2025-04-10,Pass,,,,,,,,,,,,
88326,LIVE OAK SCHOOL,live oak school,1555 MARIPOSA ST,1555 mariposa street,37.763559,-122.399478,2025-04-10,Pass,,,,,,,,,,,,
06733435,RIZE UP BAKERY LLC,rize up bakery,147 FULTON ST,147 fulton street,37.77967032674,-122.41591047378,2025-04-09,Pass,,,,,,,,,,,,
80763,ROCK JAPANESE CUISINE,rock japanese cuisine,614 PINE ST,614 pine street,37.791585,-122.4059895,2025-04-09,Pass,4.0,,,,,,,,,,,
99835,"COMPASS @ LINKEDIN, Floor 6th & 7th",compass linkedin floor 6th 7th,222 2ND ST,222 2nd street,37.786329,-122.3982495,2025-04-09,Pass,,,,,,,,,,,,
62462,GATEWAY CROISSANTS,gateway croissants,390 GOLDEN GATE AVE,390 golden gate avenue,37.781775,-122.416866,2025-04-09,Pass,3.0,ChIJTbUmE5qAhYAR3Pp-88HmmFc,80.01410934744267,ChIJTbUmE5qAhYAR3Pp-88HmmFc,Gateway Croissant,"390 Golden Gate Ave, San Francisco, CA 94102, United States",4.2,299.0,"bakery, food, store, point_of_interest, establishment",37.7815984,-122.4170621,OPERATIONAL
119635,HALAL FRIED CHICKEN,halal fried chicken,601 GEARY ST,601 geary street,37.786626,-122.4133065,2025-04-09,Pass,1.0,ChIJKQ2oXPCBhYARvE8rszlIifw,78.55072463768116,ChIJKQ2oXPCBhYARvE8rszlIifw,Halal Fried Chicken,"601 Geary St, San Francisco, CA 94102, United States",3.7,130.0,"restaurant, food, point_of_interest, establishment",37.7866221,-122.4133204,OPERATIONAL
06743983,YELLOWSTONE MARKET,yellowstone market,716 O'FARRELL ST,716 o farrell street,37.785546,-122.4166635,2025-04-09,Pass,,,,,,,,,,,,
2664,ALICES RESTAURANT,alices,1599 SANCHEZ ST,1599 sanchez street,37.743705,-122.428638,2025-04-09,Pass,3.0,,,,,,,,,,,
18153,CHUNG KUI IMPORTS & EXP CO LLC,chung kui imports exp co,1306 STOCKTON ST,1306 stockton street,37.797867,-122.4084375,2025-04-09,Pass,1.0,,,,,,,,,,,
06733729,SCO'S,sco s,1730 YOSEMITE AVE,1730 yosemite avenue,37.728468,-122.3939925,2025-04-09,Pass,1.0,,,,,,,,,,,
26328,HAWAII WEST,hawaii west,729 VALLEJO ST,729 vallejo street,37.798326,-122.409333,2025-04-09,Pass,2.0,,,,,,,,,,,
A99312,LOST AND FOUND SF,lost and found sf,1439 TARAVAL ST,1439 taraval street,37.742544,-122.4817515,2025-04-09,Closure,3.0,,,,,,,,,,,
18306,FERRY PLAZA FARMERS MARKET,ferry plaza farmers market,1 FERRY BUILDING 50,the embarcadero market street,37.79493499445,-122.39426502138,2025-04-08,Pass,,,,,,,,,,,,
88498,MCDONALD'S,mcdonald s,441 SUTTER ST,441 sutter street,37.789065,-122.40765,2025-04-08,Pass,2.0,ChIJRagBt46AhYARJim-yIO5cyo,79.1549295774648,ChIJRagBt46AhYARJim-yIO5cyo,McDonald's,"441 Sutter St, San Francisco, CA 94108, United States",3.8,2527.0,"cafe, store, restaurant, food, point_of_interest, establishment",37.789217,-122.407641,OPERATIONAL
51055,LUCKY 756,lucky 756,1750 FULTON ST,1750 fulton street,37.776168,-122.445792,2025-04-08,Pass,,,,,,,,,,,,
H0606732452,TOTAL WINE SPIRITS BEER & MORE,total wine spirits beer more,1750 HARRISON ST,1750 harrison street,37.76904,-122.414049,2025-04-08,Pass,,,,,,,,,,,,
D 277,MISSION HIGH SCHOOL,mission high school,3750 18TH ST,3750 18th street,37.761606,-122.426991,2025-04-08,Pass,,,,,,,,,,,,
90710,THE CREPE CAFE,the crepe,333 JEFFERSON 5A,333 jefferson 5a,37.80749200741,-122.41783702859,2025-04-08,Pass,3.0,,,,,,,,,,,
98115,THE BUTCHER SHOP BY NIKU,the butcher shop by niku,57 DIVISION ST,57 division street,37.769688,-122.403348,2025-04-08,Pass,2.0,,,,,,,,,,,
06733890,WEST PORTAL PRODUCE MARKET,west portal produce market,222 WEST PORTAL AVE,222 west portal avenue,37.738782,-122.468589,2025-04-08,Pass,1.0,,,,,,,,,,,
06734044,ANTOJITOS LA PATITA,antojitos la patita,900 D AVE,900 d avenue,37.82586779701,-122.37378996956,2025-04-07,Pass,1.0,,,,,,,,,,,
91805,REMEDE SPA,remede spa,125 3RD ST,125 3rd street,37.786041,-122.401467,2025-04-07,Pass,,,,,,,,,,,,
06743834,DOPPIO CAFE,doppio,1551 MISSION ST,1551 mission street,37.773198,-122.417883,2025-04-07,Pass,,,,,,,,,,,,
06743976,BOTTLE'S & BITES,bottle s bites,1799 UNION ST,1799 union street,37.797786,-122.428719,2025-04-07,Pass,9.0,,,,,,,,,,,
30428,CHINATOWN RESTAURANT INC,chinatown restaurant,744 WASHINGTON ST,744 washington street,37.795392,-122.4059985,2025-04-07,Pass,10.0,,,,,,,,,,,
25151,KAM PO KITCHEN,kam po kitchen,801 BROADWAY,801 broadway,37.797111,-122.410503,2025-04-07,Pass,5.0,ChIJB0CuTvKAhYAROMXsQgC1U6Q,75.73770491803279,ChIJB0CuTvKAhYAROMXsQgC1U6Q,Kam PO Kitchen,"801 Broadway, San Francisco, CA 94133, United States",4.0,605.0,"restaurant, food, point_of_interest, establishment",37.7971797,-122.4104094,OPERATIONAL
32257,OMNI SAN FRANCISCO HOTEL,omni san francisco hotel,500 CALIFORNIA ST,500 california street,37.793106,-122.403186,2025-04-04,Pass,1.0,,,,,,,,,,,
29367,MOLLIE STONES GRAND CENTRAL MK,mollie stones grand central mk,2435 CALIFORNIA ST,2435 california street,37.788462,-122.4347535,2025-04-04,Pass,,,,,,,,,,,,
67862,THE SOCIAL STUDY,the social study,1795 GEARY BLVD,1795 geary boulevard,37.78407,-122.43258,2025-04-04,Pass,1.0,,,,,,,,,,,
117080,LINE HOTEL SF F&B,line hotel sf f b,950 Market ST,950 market street,37.783206,-122.4094005,2025-04-04,Pass,,,,,,,,,,,,
06743957,Moscone Elementary School,moscone elementary school,2576 HARRISON ST,2576 harrison street,37.756395,-122.412474,2025-04-04,Pass,6.0,,,,,,,,,,,
29130,AMERICANA GRILL & FOUNTAIN,americana grill fountain,3532 BALBOA ST,3532 balboa street,37.775979,-122.4968175,2025-04-04,Pass,,,,,,,,,,,,
06743770,DIWALI INDIAN CUISINE,diwali indian cuisine,1499 VALENCIA ST,1499 valencia street,37.749051,-122.4200385,2025-04-04,Pass,,ChIJvfU3rUt_j4ARsfgMLoRcZ6s,80.77922077922078,ChIJvfU3rUt_j4ARsfgMLoRcZ6s,Diwali Indian Cuisine,"1499 Valencia St, San Francisco, CA 94110, United States",4.8,256.0,"restaurant, food, point_of_interest, establishment",37.7490388,-122.4201442,OPERATIONAL
H2506732629,OUI OUI BAKE SHOP,oui oui bake shop,777 DIVISADERO ST,777 divisadero street,37.776537,-122.438511,2025-04-03,Pass,,,,,,,,,,,,
06743886,RED BAY COFFEE,red bay coffee,650 CALIFORNIA ST,650 california street,37.792944,-122.40522,2025-04-03,Pass,,,,,,,,,,,,
89580,UPPER CUT,upper cut,2332 TARAVAL ST #1,2332 taraval street,37.742616,-122.4913635,2025-04-03,nan,,,,,,,,,,,,
06743556,PADOCA CAFE,padoca,2884 GEARY BLVD,2884 geary boulevard,37.782387,-122.449878,2025-04-03,Pass,,,,,,,,,,,,
H2406732477,MARCELA'S TAQUERIA,marcela s taqueria,595 GEARY ST,595 geary street,37.786653,-122.4129825,2025-04-03,Pass,5.0,,,,,,,,,,,
H2506732519,JADE CAFE,jade,1688 BRYANT ST,1688 bryant street,37.76589,-122.410665,2025-04-03,Pass,1.0,,,,,,,,,,,
06743878,COREY'S PIZZA,corey s pizza,49 S Van Ness Ave 7th Floor,49 s van ness avenue 7th floor,37.774431,-122.418045,2025-04-03,Pass,13.0,,,,,,,,,,,
30794,CARBON LOUNGE,carbon lounge,383 BAY ST,383 bay street,37.8054,-122.4133425,2025-04-03,Pass,4.0,,,,,,,,,,,
97856,THE WATERING HOLE,the watering hole,1379 4TH ST,1379 4th street,37.77124794995,-122.39120000785,2025-04-03,nan,,,,,,,,,,,,
06735331,KING OF NOODLES,king of noodles,1639 IRVING ST,1639 irving street,37.763388,-122.47569,2025-04-03,Pass,,,,,,,,,,,,
8668,PASQUALES PIZZERIA #2,pasquales pizzeria 2,2640 SLOAT BLVD,2640 sloat boulevard,37.735695,-122.5027125,2025-04-03,Pass,2.0,,,,,,,,,,,
06743828,PINOY'S PLACE BY KUSINA,pinoy s place by kusina,406 CLEMENT ST,406 clement street,37.783233,-122.463792,2025-04-02,Pass,,,,,,,,,,,,
66571,MURIO'S,murio s,1811 HAIGHT ST,1811 haight street,37.769229,-122.452218,2025-04-02,Pass,5.0,,,,,,,,,,,
A104207,RASA RASA,rasa rasa,1379 4TH ST,1379 4th street,37.77124794995,-122.39120000785,2025-04-02,nan,,,,,,,,,,,,
33300,ARBOR,arbor,384 HAYES ST B,384 hayes street b,37.77695430398,-122.42268031144,2025-04-02,Pass,1.0,,,,,,,,,,,
77731,SOUVLA LLC,souvla,517 HAYES ST,517 hayes street,37.776438,-122.4250155,2025-04-02,Pass,,ChIJbTB3bKKAhYAR8Yqc6dEIMbQ,78.55072463768116,ChIJbTB3bKKAhYAR8Yqc6dEIMbQ,Souvla,"517 Hayes St, San Francisco, CA 94102, United States",4.5,2270.0,"restaurant, food, point_of_interest, establishment",37.7765267,-122.4249906,OPERATIONAL
31000,JACK IN THE BOX #545,jack in the box 545,400 GEARY ST,400 geary street,37.787301,-122.410152,2025-04-02,Pass,,ChIJWSORVo6AhYARw5SJd2rV8mg,71.49190110826939,ChIJWSORVo6AhYARw5SJd2rV8mg,Jack in the Box,"400 Geary St, San Francisco, CA 94102, United States",3.7,2046.0,"meal_delivery, restaurant, food, point_of_interest, establishment",37.7872577,-122.4101682,OPERATIONAL
H0406732882,INTERNATIONAL PRODUCE MARKET,international produce market,2200 MISSION ST,2200 mission street,37.761678,-122.4195795,2025-04-02,Pass,,,,,,,,,,,,
06735291,RAY MARKET AND DELI INC,ray market and deli,2896 FOLSOM ST,2896 folsom street,37.751022,-122.4142605,2025-04-02,Pass,4.0,,,,,,,,,,,
117339,MOMO NOODLE,momo noodle,601 MISSION BAY N BLVD,601 mission bay n boulevard,37.77099699144,-122.39143202193,2025-04-02,nan,3.0,ChIJWakFOEp_j4ARy6Wxe44lRa8,81.05263157894737,ChIJWakFOEp_j4ARy6Wxe44lRa8,MOMO noodle,"601 Mission Bay Boulevard North, San Francisco, CA 94158, United States",4.1,26.0,"restaurant, food, point_of_interest, establishment",37.7705852,-122.3921289,OPERATIONAL
06743883,MORNING VIBES CAFE,morning vibes,1392 9TH AVE,1392 9th avenue,37.762371,-122.4659205,2025-04-02,Pass,,,,,,,,,,,,
51984,THANH TAM II RESTAURANT,thanh tam ii,577 VALENCIA ST,577 valencia street,37.763694,-122.4214875,2025-04-02,Pass,,ChIJmZxrrc-Af4gRWf12yRUsiLo,80.26666666666667,ChIJmZxrrc-Af4gRWf12yRUsiLo,Thanh Tam II,"577 Valencia St, San Francisco, CA 94110, United States",4.4,405.0,"restaurant, food, point_of_interest, establishment",37.7637156,-122.4215727,OPERATIONAL
