feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,label
0.0,,,,,,3.0,0
0.0,,,0.0,0.0,193.0,3.0,0
0.0,,,0.0,0.0,9.0,3.0,0
0.0,,,0.0,0.0,193.0,3.0,0
0.0,,,0.0,0.0,8.0,3.0,0
0.0,,,0.0,0.0,686.0,3.0,0
0.0,,,0.0,0.0,8.0,3.0,0
0.0,37.770372,-122.445981,0.0,0.0,216.0,3.0,0
0.0,37.770372,-122.445981,0.0,0.0,2.0,3.0,0
0.0,37.770372,-122.445981,0.0,0.0,1.0,3.0,0
0.0,37.770372,-122.445981,0.0,0.0,4.0,3.0,0
6.0,37.770372,-122.445981,0.0,0.0,428.0,3.0,0
4.0,37.770372,-122.445981,2.0,0.0,7.0,3.0,0
0.0,37.768194,-122.41827,,,,,0
0.0,37.768194,-122.41827,0.0,0.0,22.0,,0
0.0,37.798244,-122.406324,,,,,0
0.0,37.79811423344,-122.40632053094,0.0,0.0,538.0,,0
0.0,,,,,,0.0,0
0.0,,,0.0,0.0,43.0,0.0,0
0.0,,,0.0,0.0,90.0,0.0,0
0.0,,,0.0,0.0,437.0,0.0,0
0.0,37.771398,-122.416803,,,,7.0,0
7.0,37.771398,-122.416803,0.0,0.0,7.0,7.0,0
3.0,37.771398,-122.416803,3.5,0.0,13.0,7.0,0
0.0,37.76463,-122.423094,,,,,0
3.0,37.76463,-122.423094,0.0,0.0,211.0,,0
0.0,37.77696,-122.424507,,,,,0
0.0,,,,,,0.0,0
0.0,,,0.0,0.0,224.0,0.0,0
0.0,,,0.0,0.0,203.0,0.0,0
1.0,37.776501,-122.476167,,,,,0
4.0,37.776501,-122.476167,1.0,0.0,348.0,,0
0.0,37.761534,-122.448969,,,,0.0,0
0.0,37.761534,-122.448969,0.0,0.0,1.0,0.0,0
1.0,37.761534,-122.448969,0.0,0.0,13.0,0.0,0
0.0,37.762638,-122.433242,,,,0.5,0
0.0,37.762638,-122.433242,0.0,0.0,518.0,0.5,0
1.0,37.762722,-122.433264,0.0,0.0,946.0,0.5,0
0.0,37.762722,-122.433264,0.3333333333333333,0.0,69.0,0.5,0
0.0,37.761498,-122.425402,,,,0.0,0
0.0,37.761498,-122.425402,0.0,0.0,315.0,0.0,0
1.0,37.761714,-122.4254205,0.0,0.0,454.0,0.0,0
0.0,37.761714,-122.4254205,0.3333333333333333,0.0,274.0,0.0,0
2.0,37.761714,-122.4254205,0.3333333333333333,0.0,230.0,0.0,0
0.0,37.761965,-122.417948,,,,0.0,0
0.0,37.761965,-122.417948,0.0,0.0,7.0,0.0,0
0.0,37.761965,-122.417948,0.0,0.0,310.0,0.0,1
0.0,37.761965,-122.417948,0.0,0.3333333333333333,0.0,0.0,0
0.0,37.761965,-122.417948,0.0,0.3333333333333333,7.0,0.0,0
0.0,37.761965,-122.417948,0.0,0.3333333333333333,181.0,0.0,1
0.0,37.761965,-122.417948,0.0,0.3333333333333333,5.0,0.0,1
0.0,37.761965,-122.417948,0.0,0.6666666666666666,408.0,0.0,0
0.0,37.761965,-122.417948,0.0,0.6666666666666666,7.0,0.0,0
0.0,37.782009,-122.4797625,,,,,0
0.0,37.782009,-122.4797625,0.0,0.0,26.0,,0
3.0,37.766466,-122.4201645,,,,,0
17.0,37.711089,-122.4040545,,,,-8.0,0
6.0,37.711089,-122.4040545,17.0,0.0,104.0,-8.0,0
1.0,37.711089,-122.4040545,11.5,0.0,5.0,-8.0,0
1.0,37.711089,-122.4040545,8.0,0.0,49.0,-8.0,0
0.0,,,,,,,0
1.0,37.761435,-122.4773415,0.0,0.0,839.0,,0
0.0,37.765421,-122.477256,,,,,0
1.0,37.765278,-122.477112,0.0,0.0,722.0,,0
0.0,37.754118,-122.4760995,,,,,0
1.0,37.77813,-122.391855,,,,,0
0.0,,,,,,3.0,0
0.0,,,0.0,0.0,323.0,3.0,0
0.0,,,0.0,0.0,13.0,3.0,0
0.0,,,0.0,0.0,714.0,3.0,0
0.0,,,0.0,0.0,1.0,3.0,0
6.0,37.758357,-122.420376,0.0,0.0,489.0,3.0,0
2.0,37.758357,-122.420376,2.0,0.0,56.0,3.0,0
0.0,37.780965,-122.408325,,,,0.0,0
0.0,37.780965,-122.408325,0.0,0.0,54.0,0.0,0
0.0,37.780965,-122.408325,0.0,0.0,84.0,0.0,0
0.0,,,,,,,1
0.0,37.723461,-122.454226,,,,8.5,0
0.0,37.723461,-122.454226,0.0,0.0,509.0,8.5,1
0.0,37.723461,-122.454226,0.0,0.5,1.0,8.5,0
0.0,37.723461,-122.454226,0.0,0.3333333333333333,8.0,8.5,0
17.0,37.723257,-122.4544005,0.0,0.3333333333333333,762.0,8.5,0
4.0,37.723257,-122.4544005,5.666666666666667,0.0,14.0,8.5,0
0.0,37.77813,-122.391855,,,,,0
2.0,37.77813,-122.391855,,,,,0
0.0,,,,,,0.0,0
8.0,37.763649,-122.480946,0.0,0.0,523.0,0.0,1
0.0,37.763649,-122.480946,4.0,0.5,16.0,0.0,0
6.0,37.763649,-122.480946,2.6666666666666665,0.3333333333333333,383.0,0.0,0
6.0,37.78254,-122.392476,,,,,0
0.0,37.78254,-122.392476,6.0,0.0,223.0,,0
0.0,37.782364,-122.392662,,,,0.0,1
0.0,37.782364,-122.392662,0.0,1.0,7.0,0.0,0
0.0,37.782364,-122.392662,0.0,0.5,218.0,0.0,0
0.0,37.782364,-122.392662,0.0,0.3333333333333333,230.0,0.0,0
0.0,,,,,,2.0,0
0.0,,,0.0,0.0,16.0,2.0,0
0.0,,,0.0,0.0,14.0,2.0,0
0.0,,,0.0,0.0,341.0,2.0,1
0.0,,,0.0,0.3333333333333333,7.0,2.0,1
4.0,37.763109,-122.481945,0.0,0.6666666666666666,583.0,2.0,0
6.0,37.763109,-122.481945,1.3333333333333333,0.6666666666666666,383.0,2.0,0
0.0,37.763172,-122.480559,,,,0.0,1
0.0,37.763172,-122.480559,0.0,1.0,1.0,0.0,1
0.0,37.763172,-122.480559,0.0,1.0,4.0,0.0,1
0.0,37.763172,-122.480559,0.0,1.0,58.0,0.0,0
1.0,37.763172,-122.480559,0.0,0.6666666666666666,295.0,0.0,0
0.0,,,,,,0.0,0
0.0,,,0.0,0.0,504.0,0.0,0
2.0,37.75383,-122.4228375,0.0,0.0,624.0,0.0,0
0.0,,,,,,2.0,0
0.0,,,0.0,0.0,406.0,2.0,1
0.0,,,0.0,0.5,10.0,2.0,0
0.0,37.753614,-122.4188955,0.0,0.3333333333333333,628.0,2.0,0
4.0,37.753614,-122.4188955,0.0,0.3333333333333333,113.0,2.0,0
4.0,37.753614,-122.4188955,1.3333333333333333,0.0,334.0,2.0,0
2.0,37.75196998741,-122.41937896349,,,,,0
3.0,37.75196998741,-122.41937896349,2.0,0.0,351.0,,0
0.0,37.78695,-122.420997,,,,,0
3.0,37.725372,-122.462136,,,,,0
1.0,37.789911,-122.4022995,,,,,0
2.0,37.766475,-122.410422,,,,,0
0.0,37.776594,-122.438144,,,,,0
0.0,37.776594,-122.438144,0.0,0.0,441.0,,0
11.0,37.791585,-122.4022905,,,,,0
0.0,,,,,,1.0,0
0.0,,,0.0,0.0,175.0,1.0,0
0.0,,,0.0,0.0,184.0,1.0,0
0.0,,,0.0,0.0,545.0,1.0,0
2.0,37.78218,-122.484636,0.0,0.0,485.0,1.0,0
0.0,37.78218,-122.484636,0.6666666666666666,0.0,4.0,1.0,0
1.0,37.782279,-122.4847305,,,,,0
0.0,,,,,,0.0,0
0.0,,,0.0,0.0,332.0,0.0,0
0.0,,,0.0,0.0,148.0,0.0,0
0.0,,,0.0,0.0,138.0,0.0,1
0.0,,,0.0,0.3333333333333333,1.0,0.0,1
0.0,,,0.0,0.6666666666666666,6.0,0.0,1
0.0,,,0.0,1.0,266.0,0.0,0
0.0,,,0.0,0.6666666666666666,119.0,0.0,0
0.0,,,0.0,0.3333333333333333,27.0,0.0,0
0.0,37.763001,-122.48406,0.0,0.0,177.0,0.0,0
0.0,37.763001,-122.48406,0.0,0.0,175.0,0.0,0
8.0,37.763001,-122.48406,0.0,0.0,0.0,0.0,1
3.0,37.763001,-122.48406,2.6666666666666665,0.3333333333333333,1.0,0.0,1
2.0,37.763001,-122.48406,3.6666666666666665,0.6666666666666666,6.0,0.0,0
0.0,37.763001,-122.48406,4.333333333333333,0.6666666666666666,83.0,0.0,0
0.0,37.763001,-122.48406,1.6666666666666667,0.3333333333333333,16.0,0.0,0
0.0,37.763001,-122.48406,0.6666666666666666,0.0,13.0,0.0,0
0.0,37.763001,-122.48406,0.0,0.0,103.0,0.0,0
1.0,37.763001,-122.48406,0.0,0.0,7.0,0.0,0
0.0,,,,,,0.0,0
0.0,,,0.0,0.0,352.0,0.0,0
0.0,37.794294,-122.4007965,0.0,0.0,976.0,0.0,0
0.0,37.785294,-122.395581,,,,,0
0.0,37.768005,-122.3875755,,,,,0
0.0,37.768005,-122.3875755,,,,,0
1.0,37.779903,-122.493753,,,,,0
1.0,37.77813,-122.391855,,,,,0
1.0,37.77813,-122.391855,1.0,0.0,300.0,,0
0.0,,,,,,0.0,0
0.0,,,0.0,0.0,216.0,0.0,0
0.0,,,0.0,0.0,9.0,0.0,0
0.0,,,0.0,0.0,175.0,0.0,0
0.0,,,0.0,0.0,420.0,0.0,0
0.0,,,0.0,0.0,11.0,0.0,0
0.0,37.778233,-122.434677,,,,,0
0.0,37.778233,-122.434677,0.0,0.0,696.0,,0
0.0,37.77813,-122.391855,,,,,0
0.0,37.77813,-122.391855,,,,,0
0.0,37.77813,-122.391855,0.0,0.0,370.0,,0
0.0,,,,,,0.0,0
0.0,,,0.0,0.0,697.0,0.0,1
0.0,,,0.0,0.5,17.0,0.0,1
4.0,37.739133,-122.41368,0.0,0.6666666666666666,711.0,0.0,1
0.0,37.739133,-122.41368,1.3333333333333333,1.0,0.0,0.0,0
0.0,37.739133,-122.41368,1.3333333333333333,0.6666666666666666,7.0,0.0,0
2.0,37.785474,-122.400468,,,,,0
0.0,37.785474,-122.400468,2.0,0.0,7.0,,0
1.0,37.78236,-122.482944,,,,,0
15.0,37.756953,-122.3879895,,,,,0
0.0,37.756953,-122.3879895,15.0,0.0,109.0,,0
0.0,37.784349,-122.4178875,,,,3.0,0
3.0,37.784349,-122.4178875,0.0,0.0,45.0,3.0,0
3.0,37.784349,-122.4178875,1.5,0.0,38.0,3.0,0
0.0,,,,,,,0
0.0,,,,,,,0
0.0,,,,,,8.0,0
8.0,37.776168,-122.438358,0.0,0.0,945.0,8.0,0
1.0,37.776168,-122.438358,4.0,0.0,10.0,8.0,0
5.0,37.776582,-122.4026145,,,,,0
0.0,,,,,,0.0,1
0.0,,,0.0,1.0,256.0,0.0,1
0.0,,,0.0,1.0,3.0,0.0,0
0.0,,,0.0,0.6666666666666666,179.0,0.0,0
4.0,37.737243,-122.423787,,,,,0
0.0,37.729753,-122.40447,,,,0.0,0
0.0,37.729753,-122.40447,0.0,0.0,239.0,0.0,0
0.0,37.729753,-122.40447,0.0,0.0,8.0,0.0,0
0.0,37.729753,-122.40447,0.0,0.0,280.0,0.0,0
2.0,37.729845,-122.4042435,0.0,0.0,473.0,0.0,0
6.0,37.781442,-122.452965,,,,,1
6.0,37.76301,-122.424228,,,,-2.0,0
4.0,37.76301,-122.424228,6.0,0.0,7.0,-2.0,0
5.0,37.76301,-122.424228,5.0,0.0,429.0,-2.0,0
7.0,37.799883,-122.4092835,,,,-1.5,0
3.0,37.799883,-122.4092835,7.0,0.0,3.0,-1.5,0
2.0,37.799883,-122.4092835,5.0,0.0,3.0,-1.5,0
0.0,37.799883,-122.4092835,4.0,0.0,183.0,-1.5,0
9.0,37.799883,-122.4092835,1.6666666666666667,0.0,120.0,-1.5,0
0.0,37.782777,-122.407877,,,,0.0,0
0.0,37.782777,-122.407877,0.0,0.0,7.0,0.0,0
0.0,37.782777,-122.407877,0.0,0.0,519.0,0.0,0
0.0,37.782777,-122.407877,0.0,0.0,27.0,0.0,0
0.0,37.77813,-122.391855,,,,,0
0.0,37.72503,-122.3939835,,,,,0
0.0,,,,,,1.0,0
7.0,37.78202933218,-122.3880641885,0.0,0.0,266.0,1.0,0
2.0,37.78202933218,-122.3880641885,3.5,0.0,21.0,1.0,0
4.0,37.78202933218,-122.3880641885,3.0,0.0,406.0,1.0,0
0.0,,,,,,0.0,0
0.0,,,0.0,0.0,14.0,0.0,0
0.0,,,0.0,0.0,209.0,0.0,0
0.0,,,0.0,0.0,276.0,0.0,0
0.0,,,0.0,0.0,382.0,0.0,0
0.0,37.797543,-122.4296775,,,,,0
1.0,37.797543,-122.4296775,0.0,0.0,17.0,,0
0.0,37.783984,-122.481969,,,,0.0,0
0.0,37.783984,-122.481969,0.0,0.0,23.0,0.0,0
0.0,37.783984,-122.481969,0.0,0.0,149.0,0.0,0
0.0,37.783984,-122.481969,0.0,0.0,19.0,0.0,0
0.0,37.783984,-122.481969,0.0,0.0,154.0,0.0,0
0.0,37.783984,-122.481969,0.0,0.0,13.0,0.0,0
0.0,37.783984,-122.481969,0.0,0.0,8.0,0.0,0
0.0,37.783984,-122.481969,0.0,0.0,505.0,0.0,0
0.0,37.783984,-122.481969,0.0,0.0,8.0,0.0,0
0.0,37.787117,-122.413186,,,,1.5,0
0.0,37.787117,-122.413186,0.0,0.0,768.0,1.5,0
6.0,37.787166,-122.4129015,0.0,0.0,910.0,1.5,0
3.0,37.787166,-122.4129015,2.0,0.0,7.0,1.5,0
1.0,37.787166,-122.4129015,3.0,0.0,13.0,1.5,0
6.0,37.787166,-122.4129015,3.333333333333333,0.0,50.0,1.5,0
1.0,37.787166,-122.4129015,3.333333333333333,0.0,9.0,1.5,0
0.0,37.77813,-122.391855,,,,,0
2.0,37.77813,-122.391855,0.0,0.0,288.0,,0
4.0,37.781181,-122.4093735,,,,,0
0.0,37.742448,-122.490032,,,,0.0,0
0.0,37.742448,-122.490032,0.0,0.0,292.0,0.0,0
0.0,37.742448,-122.490032,0.0,0.0,7.0,0.0,0
0.0,37.742448,-122.490032,0.0,0.0,352.0,0.0,0
0.0,37.74267,-122.4900585,,,,,0
3.0,37.74267,-122.4900585,0.0,0.0,447.0,,0
0.0,,,,,,,0
0.0,,,0.0,0.0,114.0,,0
0.0,37.760688,-122.505606,,,,,0
3.0,37.760688,-122.505606,0.0,0.0,349.0,,0
0.0,,,,,,0.0,0
0.0,,,0.0,0.0,457.0,0.0,0
0.0,,,0.0,0.0,426.0,0.0,0
0.0,37.789118,-122.409048,,,,,0
0.0,37.789118,-122.409048,0.0,0.0,485.0,,0
0.0,,,,,,2.0,0
0.0,,,0.0,0.0,37.0,2.0,0
0.0,,,0.0,0.0,279.0,2.0,0
0.0,,,0.0,0.0,425.0,2.0,0
0.0,,,0.0,0.0,184.0,2.0,0
4.0,37.792395,-122.4012825,0.0,0.0,743.0,2.0,0
0.0,37.792395,-122.4012825,1.3333333333333333,0.0,7.0,2.0,0
0.0,,,,,,0.0,0
0.0,,,0.0,0.0,176.0,0.0,0
0.0,,,0.0,0.0,14.0,0.0,0
0.0,,,0.0,0.0,169.0,0.0,0
0.0,,,0.0,0.0,193.0,0.0,0
0.0,,,0.0,0.0,422.0,0.0,0
0.0,37.788885,-122.40909,,,,,0
0.0,37.807888,-122.414027,,,,1.0,1
0.0,37.807888,-122.414027,0.0,1.0,2.0,1.0,0
0.0,37.807888,-122.414027,0.0,0.5,335.0,1.0,0
3.0,37.808055,-122.4132615,0.0,0.3333333333333333,554.0,1.0,0
2.0,37.808055,-122.4132615,1.0,0.0,297.0,1.0,0
3.0,37.808055,-122.4132615,1.6666666666666667,0.0,1.0,1.0,0
0.0,,,,,,0.0,0
0.0,,,0.0,0.0,372.0,0.0,0
0.0,,,0.0,0.0,21.0,0.0,0
0.0,,,0.0,0.0,299.0,0.0,0
0.0,,,0.0,0.0,7.0,0.0,0
0.0,37.712166,-122.402934,,,,0.0,0
0.0,37.712166,-122.402934,0.0,0.0,29.0,0.0,0
0.0,37.712166,-122.402934,0.0,0.0,13.0,0.0,0
0.0,37.712166,-122.402934,0.0,0.0,194.0,0.0,0
0.0,37.712166,-122.402934,0.0,0.0,8.0,0.0,0
0.0,,,,,,0.0,1
0.0,,,0.0,1.0,197.0,0.0,1
0.0,,,0.0,1.0,7.0,0.0,0
0.0,,,0.0,0.6666666666666666,184.0,0.0,0
0.0,,,0.0,0.3333333333333333,209.0,0.0,0
0.0,,,0.0,0.0,182.0,0.0,0
3.0,37.780884,-122.4741825,0.0,0.0,622.0,0.0,0
0.0,,,,,,0.0,1
0.0,,,0.0,1.0,1.0,0.0,0
0.0,,,0.0,0.5,432.0,0.0,1
0.0,,,0.0,0.6666666666666666,9.0,0.0,0
0.0,,,0.0,0.3333333333333333,321.0,0.0,0
1.0,37.711008,-122.4668205,,,,0.0,0
1.0,37.711008,-122.4668205,1.0,0.0,3.0,0.0,0
0.0,37.711008,-122.4668205,1.0,0.0,34.0,0.0,0
0.0,37.778547,-122.41013,,,,0.0,0
0.0,37.778547,-122.41013,0.0,0.0,490.0,0.0,1
0.0,37.778547,-122.41013,0.0,0.5,5.0,0.0,0
0.0,37.778547,-122.41013,0.0,0.3333333333333333,316.0,0.0,1
7.0,37.7784,-122.4103095,,,,,0
3.0,37.7784,-122.4103095,7.0,0.0,10.0,,0
0.0,37.78875,-122.4030465,,,,,0
0.0,37.78875,-122.4030465,0.0,0.0,35.0,,0
0.0,37.801233,-122.4118215,,,,,0
0.0,,,,,,0.0,0
0.0,,,0.0,0.0,9.0,0.0,0
0.0,,,0.0,0.0,235.0,0.0,0
0.0,,,0.0,0.0,324.0,0.0,0
0.0,,,0.0,0.0,8.0,0.0,0
0.0,37.788552,-122.4121185,0.0,0.0,641.0,0.0,0
0.0,37.788552,-122.4121185,0.0,0.0,16.0,0.0,0
6.0,37.788552,-122.4121185,0.0,0.0,356.0,0.0,0
0.0,37.77813,-122.391855,,,,,0
0.0,37.77813,-122.391855,0.0,0.0,288.0,,0
4.0,37.77813,-122.391855,,,,,0
1.0,37.77813,-122.391855,4.0,0.0,288.0,,0
0.0,37.791984,-122.399754,,,,0.0,0
0.0,37.791984,-122.399754,0.0,0.0,204.0,0.0,0
0.0,37.791984,-122.399754,0.0,0.0,189.0,0.0,0
0.0,37.791984,-122.399754,0.0,0.0,182.0,0.0,0
0.0,37.791984,-122.399754,0.0,0.0,189.0,0.0,0
0.0,37.791984,-122.399754,0.0,0.0,218.0,0.0,0
0.0,37.783179,-122.465124,,,,,0
1.0,37.759554,-122.4217035,,,,,0
0.0,37.771677,-122.3914455,,,,,0
0.0,37.76427,-122.4669195,,,,0.0,0
0.0,37.76427,-122.4669195,0.0,0.0,44.0,0.0,0
0.0,37.76427,-122.4669195,0.0,0.0,71.0,0.0,0
0.0,,,,,,-4.5,0
0.0,,,0.0,0.0,198.0,-4.5,0
0.0,,,0.0,0.0,182.0,-4.5,0
0.0,,,0.0,0.0,6.0,-4.5,0
0.0,,,0.0,0.0,201.0,-4.5,0
0.0,,,0.0,0.0,8.0,-4.5,0
0.0,,,0.0,0.0,330.0,-4.5,0
15.0,37.728477,-122.4768375,0.0,0.0,707.0,-4.5,1
14.0,37.728477,-122.4768375,5.0,0.3333333333333333,1.0,-4.5,1
15.0,37.728477,-122.4768375,9.666666666666666,0.6666666666666666,14.0,-4.5,1
5.0,37.728477,-122.4768375,14.666666666666666,1.0,4.0,-4.5,0
1.0,37.728477,-122.4768375,11.333333333333334,0.6666666666666666,22.0,-4.5,0
0.0,37.782531,-122.478201,,,,,0
0.0,37.787868,-122.4084645,,,,,0
0.0,37.787868,-122.4084645,0.0,0.0,7.0,,0
0.0,37.73682,-122.40531,,,,0.0,0
5.0,37.73682,-122.40531,0.0,0.0,85.0,0.0,0
0.0,37.73682,-122.40531,2.5,0.0,14.0,0.0,0
1.0,37.73682,-122.40531,1.6666666666666667,0.0,22.0,0.0,0
1.0,37.73682,-122.40531,2.0,0.0,8.0,0.0,0
1.0,37.73682,-122.40531,0.6666666666666666,0.0,13.0,0.0,0
0.0,37.73682,-122.40531,1.0,0.0,7.0,0.0,0
2.0,37.73682,-122.40531,0.6666666666666666,0.0,7.0,0.0,0
2.0,37.73682,-122.40531,1.0,0.0,97.0,0.0,0
2.0,37.73682,-122.40531,1.3333333333333333,0.0,2.0,0.0,0
7.0,37.73682,-122.40531,2.0,0.0,221.0,0.0,0
0.0,,,,,,0.0,0
0.0,,,0.0,0.0,471.0,0.0,0
0.0,,,0.0,0.0,377.0,0.0,0
0.0,,,0.0,0.0,19.0,0.0,0
4.0,37.802898,-122.414346,0.0,0.0,637.0,0.0,0
0.0,37.794267,-122.4081495,,,,0.0,0
0.0,37.794267,-122.4081495,0.0,0.0,40.0,0.0,0
0.0,37.794267,-122.4081495,0.0,0.0,30.0,0.0,0
0.0,,,,,,,0
0.0,,,0.0,0.0,378.0,,0
0.0,,,,,,,0
0.0,,,,,,0.0,0
0.0,,,0.0,0.0,364.0,0.0,0
0.0,,,0.0,0.0,68.0,0.0,0
0.0,,,0.0,0.0,310.0,0.0,0
0.0,,,,,,0.0,0
0.0,,,0.0,0.0,182.0,0.0,0
0.0,,,0.0,0.0,68.0,0.0,0
0.0,,,0.0,0.0,350.0,0.0,0
0.0,,,,,,,0
0.0,,,0.0,0.0,182.0,,0
0.0,,,,,,0.0,0
0.0,,,0.0,0.0,182.0,0.0,0
0.0,,,0.0,0.0,182.0,0.0,0
0.0,,,0.0,0.0,378.0,0.0,0
0.0,,,,,,0.0,0
0.0,,,0.0,0.0,269.0,0.0,0
0.0,,,0.0,0.0,364.0,0.0,0
0.0,,,0.0,0.0,378.0,0.0,0
0.0,,,,,,0.0,0
0.0,,,0.0,0.0,182.0,0.0,0
0.0,,,0.0,0.0,182.0,0.0,0
0.0,,,,,,0.0,0
0.0,,,0.0,0.0,182.0,0.0,0
0.0,,,0.0,0.0,182.0,0.0,0
0.0,,,0.0,0.0,378.0,0.0,0
0.0,,,,,,0.0,0
0.0,,,0.0,0.0,182.0,0.0,0
0.0,,,0.0,0.0,378.0,0.0,0
0.0,,,0.0,0.0,40.0,0.0,0
0.0,,,,,,0.0,0
0.0,,,0.0,0.0,182.0,0.0,0
0.0,,,0.0,0.0,378.0,0.0,0
0.0,,,,,,0.0,0
0.0,,,0.0,0.0,182.0,0.0,0
0.0,,,0.0,0.0,182.0,0.0,0
0.0,,,0.0,0.0,418.0,0.0,0
0.0,,,,,,0.0,0
0.0,,,0.0,0.0,182.0,0.0,0
0.0,,,0.0,0.0,182.0,0.0,0
0.0,,,0.0,0.0,68.0,0.0,0
0.0,,,0.0,0.0,310.0,0.0,0
0.0,,,,,,0.0,0
0.0,,,0.0,0.0,436.0,0.0,0
0.0,,,0.0,0.0,560.0,0.0,0
0.0,,,,,,0.0,0
0.0,,,0.0,0.0,182.0,0.0,0
0.0,,,0.0,0.0,182.0,0.0,0
0.0,,,,,,0.0,0
0.0,,,0.0,0.0,364.0,0.0,0
0.0,,,0.0,0.0,378.0,0.0,0
0.0,,,,,,0.0,0
0.0,,,0.0,0.0,364.0,0.0,0
0.0,,,0.0,0.0,378.0,0.0,0
0.0,,,,,,0.0,0
0.0,,,0.0,0.0,182.0,0.0,0
0.0,,,0.0,0.0,182.0,0.0,0
0.0,,,0.0,0.0,378.0,0.0,0
0.0,,,,,,0.0,0
0.0,,,0.0,0.0,182.0,0.0,0
0.0,,,0.0,0.0,182.0,0.0,0
0.0,,,0.0,0.0,378.0,0.0,0
0.0,,,,,,,0
0.0,,,0.0,0.0,182.0,,0
0.0,,,,,,0.0,0
0.0,,,0.0,0.0,254.0,0.0,0
0.0,,,0.0,0.0,182.0,0.0,0
0.0,,,0.0,0.0,182.0,0.0,0
0.0,,,0.0,0.0,378.0,0.0,0
0.0,,,,,,0.0,0
0.0,,,0.0,0.0,182.0,0.0,0
0.0,,,0.0,0.0,182.0,0.0,0
0.0,,,0.0,0.0,378.0,0.0,0
0.0,,,,,,0.0,1
0.0,,,0.0,1.0,68.0,0.0,0
0.0,,,0.0,0.5,310.0,0.0,0
0.0,,,,,,0.0,0
0.0,,,0.0,0.0,182.0,0.0,0
